time,tavg,tmin,tmax,prcp
1990-01-01,25.2,22.8,28.4,0.5
1990-01-02,24.9,21.7,29.1,0.0
1990-01-03,25.6,21.4,29.8,0.0
1990-01-04,25.7,21.05,28.7,0.0
1990-01-05,25.5,20.7,28.4,0.0
1990-01-06,24.7,22.0,26.1,0.5
1990-01-07,25.4,23.3,27.0,18.0
1990-01-08,25.6,22.0,28.0,0.5
1990-01-09,24.8,21.7,28.5,0.0
1990-01-10,24.7,20.7,29.0,0.0
1990-01-11,24.5,20.0,28.8,0.0
1990-01-12,23.8,18.0,29.4,0.0
1990-01-13,23.1,17.1,31.3,0.0
1990-01-14,23.9,17.5,31.8,0.0
1990-01-15,23.3,17.4,30.5,0.0
1990-01-16,23.3,18.0,29.8,0.0
1990-01-17,23.4,18.1,28.9,0.0
1990-01-18,22.6,18.2,30.2,0.0
1990-01-19,23.0,17.2,30.4,0.0
1990-01-20,23.1,16.9,33.3,0.0
1990-01-21,24.2,17.0,32.9,0.0
1990-01-22,23.1,18.4,30.7,0.0
1990-01-23,24.2,20.4,29.6,0.0
1990-01-24,24.3,19.5,29.5,0.0
1990-01-25,24.8,20.1,30.9,0.0
1990-01-26,24.5,19.9,29.7,0.0
1990-01-27,24.1,19.9,29.6,0.0
1990-01-28,24.1,19.1,29.4,0.0
1990-01-29,23.9,20.2,29.75,0.0
1990-01-30,23.5,20.1,30.1,0.0
1990-01-31,23.7,19.35,29.8,0.0
1990-02-01,23.8,18.6,30.0,0.0
1990-02-02,24.6,19.1,29.6,0.0
1990-02-03,23.9,19.4,30.1,0.0
1990-02-04,24.3,19.15,30.066666666666663,31.0
1990-02-05,25.3,18.9,30.03333333333333,0.0
1990-02-06,24.3,19.8,30.0,0.0
1990-02-07,24.9,20.8,29.9,0.0
1990-02-08,25.8,22.0,30.3,0.0
1990-02-09,26.1,21.8,30.7,0.0
1990-02-10,26.8,22.4,30.9,0.0
1990-02-11,26.6,22.9,31.0,0.0
1990-02-12,26.7,22.8,31.3,0.0
1990-02-13,26.3,22.6,31.35,0.0
1990-02-14,26.3,22.4,31.4,0.0
1990-02-15,27.9,23.35,30.9,0.0
1990-02-16,27.0,24.3,30.4,0.0
1990-02-17,27.4,24.5,32.4,0.0
1990-02-18,27.7,24.8,32.5,0.0
1990-02-19,28.0,25.2,32.6,2.65
1990-02-20,27.5,23.4,33.0,5.3
1990-02-21,28.2,24.8,36.0,0.0
1990-02-22,28.4,23.8,34.1,0.0
1990-02-23,28.3,24.7,32.6,0.0
1990-02-24,28.6,25.4,33.7,0.0
1990-02-25,28.6,25.0,34.3,0.0
1990-02-26,29.1,25.3,36.0,0.0
